date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:56	458/458	---MCZ	200	added ('OK')	text/plain	etag:cacheable:9ea280196b7fca85250b7f7f8bdf8c7b	https://metafang.com/robots.txt		(from )
21:47:56	95/95	---MC-	302	error ('Found')	text/html	date:Mon,%2008%20Aug%202022%2018:47:53%20GMT	https://metafang.com/	C:/Benim%20Web%20Sitex/deneme1/metafang.com/index.html	(from )
21:47:57	39108/39108	---MCZ	200	added ('OK')	text/html	etag:cacheable:f5ac9e9b58b3e147e0d6b152f30bd0e0	https://metafang.com/password	C:/Benim%20Web%20Sitex/deneme1/metafang.com/password.html	(from https://metafang.com/)
21:48:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Aug%202022%2018:48:01%20GMT	http://cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a_32x32.png?v=1644115485	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a_32x32.11a6f.delayed	(from https://metafang.com/password)
21:48:04	921/921	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Apr%202022%2010:17:53%20GMT	https://cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a_32x32.png?v=1644115485	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a_32x321a6f.png	(from https://metafang.com/password)
21:48:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Aug%202022%2018:48:04%20GMT	http://cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a.png?v=1644115485	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a1a6f.png	(from https://metafang.com/password)
21:48:08	52612/52612	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2018:48:04%20GMT	https://cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a.png?v=1644115485	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/s/files/1/0624/6606/4601/files/mlogo_b750e1ed-da95-41bb-acb3-1568a44e974a1a6f.png	(from https://metafang.com/password)
21:48:08	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Aug%202022%2016:34:20%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://metafang.com/password)
21:48:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Aug%202022%2018:48:05%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://metafang.com/password)
21:48:15	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2007:43:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Benim%20Web%20Sitex/deneme1/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://metafang.com/password)
